Offer,Applicable to Credit cards,Coupon code
INR 100 off on orders above INR 349. ,AU Small Finance Bank Ivy Credit Card,Coupon code: AUIVY
INR 75 off on orders above INR 299. ,Offer valid on all credit cards,Coupon code: IDBIFEAST
10% off on order. Maximum discount INR 150.,Standard Chartered DigiSmart Credit Card,Coupon code: DIGISMART
10% off on order above INR 299. Maximum discount INR 100. ,IDFC First SWYP Credit Card,Coupon code: IDFCSWYP
INR 30 off on minimum transaction of INR 349. ,One Credit Card,Coupon code AUCC30
15% off on order above INR 399. Maximum discount INR 100. ,"Rupay Platinum Secured Credit Card,
Rupay Select Credit Card,
 Rupay Select Secured Credit Card,
Mastercard Standard Credit Card,
Mastercard Gold Secured Credit Card,
Mastercard Gold Credit Card,
VISA Gold Secured Credit Card,
VISA Classic Credit Card,
Mastercard Platinum Credit Card,
VISA Gold Credit Card,
Mastercard World Credit Card,
Rupay Classic Credit Card,
Rupay Platinum Credit Card,
Visa Platinum Credit Card,
VISA Corporate Credit Card",Coupon code: CANARAFEST
,,
,,
,,
,,
,,
,,
